Technology	GWP_construction [ktCO2-eq/y]
CCGT	12.008091
PV	652.453374
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	135.857714
IND_COGEN_WASTE	5.006198
IND_BOILER_GAS	0.769637
IND_BOILER_COAL	6.219161
IND_BOILER_WASTE	1.638152
DHN_HP_ELEC	2.239163
DHN_COGEN_GAS	11.102580
DHN_BOILER_GAS	0.977834
DHN_GEOTHERMAL	54.662838
DEC_THERMAL_HP_GAS	87.667726
DEC_BOILER_GAS	19.334366
DEC_BOILER_OIL	2.849204
THERMAL_SOLAR	13.860382
H2_FROM_GAS	0.000000
P2G_INVESTMENT	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1561.739300
DIESEL	1693.527267
OIL	2096.441512
NG	27853.740760
COAL	8439.177202
WASTE	1671.300000
