End use [GW]	1	2	3	4	5	6	7	8	9	10	11	12
ELECTRICITY	9.216349	8.950889	8.360614	7.943715	7.707517	7.331330	7.292323	7.260405	8.017554	8.596092	9.397070	9.779923	
HEAT_HIGH_T	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	
HEAT_LOW_T_DHN	4.325751	4.289727	3.317070	1.118145	0.492763	0.492763	0.492763	0.492763	0.909684	2.308389	3.411214	4.930960	
HEAT_LOW_T_DECEN	9.588748	9.508895	7.352839	2.478555	1.092291	1.092291	1.092291	1.092291	2.016467	5.116929	7.561523	10.930294	

Mobility [Mpkm/h] or [Mtkm/h]
MOB_PUBLIC	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	
MOB_PRIVATE	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	
MOB_FREIGHT_RAIL	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	
MOB_FREIGHT_ROAD	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	
