End use [GW]	1	2	3	4	5	6	7	8	9	10	11	12
ELECTRICITY	9.642089	9.385785	8.828931	8.319820	7.947394	7.412676	7.374482	7.429725	8.498682	9.117292	10.007976	10.179230	
HEAT_HIGH_T	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	
HEAT_LOW_T_DHN	5.968460	5.916997	4.527487	1.386166	0.492763	0.492763	0.492763	0.492763	1.088365	3.086514	4.661978	6.833044	
HEAT_LOW_T_DECEN	13.230087	13.116010	10.035930	3.072668	1.092291	1.092291	1.092291	1.092291	2.412542	6.841773	10.334052	15.146582	

Mobility [Mpkm/h] or [Mtkm/h]
MOB_PUBLIC	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	
MOB_PRIVATE	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	
MOB_FREIGHT_RAIL	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	
MOB_FREIGHT_ROAD	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	
